,Variable Name,Type,Links Wave 2,Reference Period other than Survey Period
0,`p_2m_infected`,float,:ref:`w2e-q1header`,
1,`p_2m_acquaintance_infected`,float,:ref:`w2e-q1header`,
2,`p_2m_hospital_if_infect_self`,float,:ref:`w2e-q1header`,
3,`p_2m_infected_and_pass_on`,float,:ref:`w2e-q1header`,
4,`work_status`,Categorical,:ref:`w2e-q13`,202002.0
5,`nr_children_below_12`,Int,:ref:`w2e-q22`,
6,`cc_self_home`,bool,:ref:`w2e-q23`,
7,`cc_partner_home`,bool,:ref:`w2e-q23`,
8,`cc_older_siblings`,bool,:ref:`w2e-q23`,
9,`cc_grand_parents`,bool,:ref:`w2e-q23`,
10,`cc_other_relatives`,bool,:ref:`w2e-q23`,
11,`cc_share_neighbors`,bool,:ref:`w2e-q23`,
12,`cc_state`,bool,:ref:`w2e-q23`,
13,`cc_ex_partner`,bool,:ref:`w2e-q23`,
14,`cc_home_alone`,bool,:ref:`w2e-q23`,
15,`cc_other`,bool,:ref:`w2e-q23`,
16,`cc_other_str`,str,:ref:`w2e-q23`,
17,`hours_workplace`,Int,:ref:`w2e-q14header`,202002.0
18,`hours_home`,Int,:ref:`w2e-q14header`,202002.0
19,`hours_workplace`,Int,:ref:`w2e-q14header`,
20,`hours_home`,Int,:ref:`w2e-q14header`,
21,`hours_workplace`,Int,:ref:`w2e-q14header`,
22,`hours_home`,Int,:ref:`w2e-q14header`,
23,`empl_not_work_lessbusiness`,bool,:ref:`w2e-q15`,
24,`empl_not_work_infection_gov`,bool,:ref:`w2e-q15`,
25,`empl_not_work_infection_empl`,bool,:ref:`w2e-q15`,
26,`empl_not_work_care`,bool,:ref:`w2e-q15`,
27,`empl_not_work_fear_infection`,bool,:ref:`w2e-q15`,
28,`empl_not_work_sick`,bool,:ref:`w2e-q15`,
29,`empl_not_work_vacation`,bool,:ref:`w2e-q15`,
30,`empl_not_work_fired`,bool,:ref:`w2e-q15`,
31,`empl_not_work_other`,bool,:ref:`w2e-q15`,
32,`empl_not_work_other_str`,str,:ref:`w2e-q15`,
33,`empl_less_work_lessbusiness`,bool,:ref:`w2e-q16`,
34,`empl_less_work_infection_gov`,bool,:ref:`w2e-q16`,
35,`empl_less_work_infection_empl`,bool,:ref:`w2e-q16`,
36,`empl_less_work_care`,bool,:ref:`w2e-q16`,
37,`empl_less_work_fear_infection`,bool,:ref:`w2e-q16`,
38,`empl_less_work_sick`,bool,:ref:`w2e-q16`,
39,`empl_less_work_vacation`,bool,:ref:`w2e-q16`,
40,`empl_less_work_unrel_corona`,bool,:ref:`w2e-q16`,
41,`empl_less_work_other`,bool,:ref:`w2e-q16`,
42,`empl_less_work_other_str`,str,:ref:`w2e-q16`,
43,`selfempl_less_business`,bool,:ref:`w2e-q17`,
44,`selfempl_less_infection_gov`,bool,:ref:`w2e-q17`,
45,`selfempl_less_infection_self`,bool,:ref:`w2e-q17`,
46,`selfempl_less_care`,bool,:ref:`w2e-q17`,
47,`selfempl_less_closure`,bool,:ref:`w2e-q17`,
48,`selfempl_less_sick`,bool,:ref:`w2e-q17`,
49,`selfempl_less_vacation`,bool,:ref:`w2e-q17`,
50,`selfempl_less_unrel_corona`,bool,:ref:`w2e-q17`,
51,`selfempl_less_other`,bool,:ref:`w2e-q17`,
52,`selfempl_less_other_str`,str,:ref:`w2e-q17`,
53,`concern_4w_bored`,Categorical,:ref:`w2e-q31header`,
54,`concern_4w_serious_ill`,Categorical,:ref:`w2e-q31header`,
55,`concern_4w_infect_others`,Categorical,:ref:`w2e-q31header`,
56,`concern_4w_loved_ill`,Categorical,:ref:`w2e-q31header`,
57,`concern_4w_unemp`,Categorical,:ref:`w2e-q31header`,
58,`concern_4w_company`,Categorical,:ref:`w2e-q31header`,
59,`concern_4w_new_job`,Categorical,:ref:`w2e-q31header`,
60,`concern_4w_food`,Categorical,:ref:`w2e-q31header`,
61,`concern_4w_health_care`,Categorical,:ref:`w2e-q31header`,
62,`concern_4w_fav_shop_bancrupt`,Categorical,:ref:`w2e-q31header`,
63,`questionnaire_difficult`,Categorical,:ref:`w2e-eva2h`,
64,`questionnaire_clear`,Categorical,:ref:`w2e-eva2h`,
65,`questionnaire_thinking`,Categorical,:ref:`w2e-eva2h`,
66,`questionnaire_interesting`,Categorical,:ref:`w2e-eva2h`,
67,`questionnaire_enjoy`,Categorical,:ref:`w2e-eva2h`,
68,`infection_diagnosed`,bool,:ref:`w2e-InfectionDiagnosed`,
69,`infection_perceived`,bool,:ref:`w2e-SelfPerceivedInfection`,
70,`is_smoking`,Categorical,:ref:`w2e-rook`,
71,`is_smoking_cigarettes`,bool,:ref:`w2e-he035`,
72,`is_smoking_pipe`,bool,:ref:`w2e-he035`,
73,`is_smoking_cigar`,bool,:ref:`w2e-he035`,
74,`is_smoking_ecig`,bool,:ref:`w2e-he035`,
75,`nr_cigarettes_day`,int,:ref:`w2e-he036a`,
76,`nr_pipe_day`,int,:ref:`w2e-he036b`,
77,`nr_cigar_day`,int,:ref:`w2e-he036c`,
78,`nr_ecig_day`,int,:ref:`w2e-he036d`,
79,`is_drinking_alcohol`,Categorical,:ref:`w2e-he038`,
80,`alcohol_amount`,Categorical,:ref:`w2e-he039`,
81,`alcohol_beer`,bool,:ref:`w2e-he040`,
82,`alcohol_beer_strong`,bool,:ref:`w2e-he040`,
83,`alcohol_liquor`,bool,:ref:`w2e-he040`,
84,`alcohol_sherry`,bool,:ref:`w2e-he040`,
85,`alcohol_wine`,bool,:ref:`w2e-he040`,
86,`alcohol_alcopop`,bool,:ref:`w2e-he040`,
87,`alcohol_other`,bool,:ref:`w2e-he040`,
88,`alcohol_other_1`,str,:ref:`w2e-he040and`,
89,`alcohol_other_2`,str,:ref:`w2e-he040and`,
90,`beer_glasses`,int,:ref:`w2e-he040a`,
