,"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane (C2H2Cl4)"
0,"1,1,2-Trichloroethane","1,1,2-Trichloroethane (C2H3Cl3)"
1,"1,1-Dichloroethane","1,1-Dichloroethane (C2H4Cl2)"
2,"1,1-Dichloroethene","1,1-Dichloroethene (C2H2Cl2)"
3,"1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene (C6H3Cl3)"
4,"1,2-Dibromo-3-chloropropane","1,2-Dibromo-3-chloropropane (C3H5Br2Cl)"
5,"1,2-Dichlorobenzene","1,2-Dichlorobenzene (C6H4Cl2)"
6,"1,2-Dichloroethane","1,2-Dichloroethane (C2H4Cl2)"
7,"1,2-Dichloropropane","1,2-Dichloropropane (C3H6Cl2)"
8,"1,2-Dimethylnaphthalene","1,2-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
9,"1,3-Dichlorobenzene","1,3-Dichlorobenzene (C6H4Cl2)"
10,"1,3-Dimethyladamantane","1,3-Dimethyladamantane (C12H20)."
11,"1,3-Dimethylnaphthalene","1,3-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
12,"1,3-Dinitrobenzene","1,3-Dinitrobenzene (C6H4N2O4)"
13,"1,4,5,8-Tetramethylnaphthalene","1,4,5,8-Tetramethylnaphthalene (C14H16), a polycyclic aromatic hydrocarbon (PAH)"
14,"1,4-Dichlorobenzene","1,4-Dichlorobenzene (C6H4Cl2)"
15,"1,4-Dimethylnaphthalene","1,4-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
16,"1,5-Dimethylnaphthalene","1,5-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
17,"1,6-Dimethylnaphthalene","1,6-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
18,"1,8-Dimethylnaphthalene","1,8-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)"
19,19-Hexanoyloxyfucoxanthin,The phytoplankton pigment 19-Hexanoyloxyfucoxanthin
20,1-Methylanthracene,"1-Methylanthracene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
21,1-Methylfluorene,"1-Methylfluorene (C14H12), a polycyclic aromatic hydrocarbon (PAH)"
22,1-Methylnaphthalene,"1-Methylnaphthalene (C10H7CH3), a polycyclic aromatic hydrocarbon (PAH)"
23,1-Methylphenanthrene,"1-Methylphenanthrene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
24,1-Naphthalenol methylcarbamate,1-Naphthalenol methylcarbamate (C12H11NO2)
25,"2,2-dichlorovinyl dimethyl phosphate","2,2-dichlorovinyl dimethyl phosphate (C4H7Cl2O4P)"
26,"2,3,5-Trimethylnaphthalene","2,3,5-Trimethylnaphthalene (C13H14), a polycyclic aromatic hydrocarbon (PAH)"
27,"2,4,5-Trichlorophenol","2,4,5-Trichlorophenol (C6H3Cl3O)"
28,"2,4,6-Trichlorophenol","2,4,6-Trichlorophenol (TCP) (C6H2Cl3OH)"
29,"2,4-Dichlorophenol","2,4-Dichlorophenol (C6H4Cl2O)"
30,"2,4-Dimethylphenol","2,4-Dimethylphenol (C8H10O)"
31,"2,4-Dinitrophenol","2,4-Dinitrophenol (C6H4N2O5)"
32,"2,4-Dinitrotoluene","2,4-Dinitrotoluene (C7H6N2O4)"
33,"2,6-Dinitrotoluene","2,6-Dinitrotoluene (C7H6N2O4)"
