,Indicator Variable,Alternate name,Status Flag,Indicator Name,Description,Units,Concept,Base
0,HirAR,AR,sHirAR,Hiring Rate (All Accessions),All accessions as a percent of average employment,Rate,Hire,(Emp + EmpEnd)/2
1,HirNR,HR,sHirNR,New Hiring Rate,New hires as a percent of average employment,Rate,Hire,(Emp + EmpEnd)/2
2,HirRR,RR,sHirRR,Recall Rate,Recall hires as a percent of average employment,Rate,Hire,(Emp + EmpEnd)/2
3,SepR,SR,sSepR,Separation Rate (All Separations),All separations as a percent of average employment,Rate,Separation,(Emp + EmpEnd)/2
4,HirAEndR,CAR,sHirAEndR,End-of-Quarter Hiring Rate,Hires as a percent of average employment,Rate,Hire,(Emp + EmpEnd)/2
5,SepBegR,CSR,sSepBegR,Beginning-of-Quarter Separation Rate,Separations as a percent of average employment,Rate,Separation,(Emp + EmpEnd)/2
6,HirAsR,FAR,sHirAsR,Hiring Rate (Flows into Full-Quarter Employment),Flows into stable employment as a percent of average stable employment,Rate,Hire,(EmpSpv + EmpS)/2
7,HirNsR,FHR,sHirNsR,New Hiring Rate (New Hires to Full-Quarter Status),New hires into stable employment as a percent of average stable employment,Rate,Hire,(EmpSpv + EmpS)/2
8,SepSR,FSR,sSepSR,Separation Rate (Flows out of Full-Quarter Employment),Flows out of stable employment as a percent of average stable employment,Rate,Separation,(EmpSpv + EmpS)/2
9,SepSnxR,FSnxR,sSepSnxR,Separation Rate in the Next Quarter (Flow out of Full-Quarter Employment),Flow rate out of stable employment in the next quarter,Rate,Separation,(EmpSpv + EmpS)/2
10,TurnOvrSR,FTR,sTurnOvrSR,Turnover Rate (Stable),The rate at which stable jobs begin and end,Rate,Turnover,2*EmpS
11,FrmJbGnR,JCR,sFrmJbGnR,Firm Job Gain Rate (Job Creation Rate),Estimated number of jobs gained at firms throughout the quarter as a percent of average employment,Rate,Hire,(Emp + EmpEnd)/2
12,FrmJbLsR,JDR,sFrmJbLsR,Firm Job Loss Rate (Job Destruction Rate),Estimated number of jobs lost at firms throughout the quarter  as a percent of average employment,Rate,Separation,(Emp + EmpEnd)/2
13,FrmJbCR,JFR,sFrmJbCR,Firm Job Change Rate (Net Change Rate),Difference between firm job gain and firm job loss  as a percent of average employment,Rate,Flow,(Emp + EmpEnd)/2
14,HirAEndReplR,EIR,sHirAEndReplR,Replacement Hiring Rate,Replacement hires as a percent of  average  employment,Rate,Hire,(Emp + EmpEnd)/2
15,FrmJbGnSR,FJCR,sFrmJbGnSR,Firm Job Gain Rate (Stable),Estimated number of full-quarter jobs gained at firms as a percent of average stable employment,Rate,Hire,(EmpSpv + EmpS)/2
16,FrmJbLsSR,FJDR,sFrmJbLsSR,Firm Job Loss Rate (Stable),Estimated number of full-quarter jobs lost at firms as a percent of average stable employment,Rate,Separation,(EmpSpv + EmpS)/2
17,FrmJbCSR,FJFR,sFrmJbCSR,Firm Job Change Rate (Stable; Net Change Rate),Net growth in jobs that last a full quarter as a percent of average stable employment,Rate,Flow,(EmpSpv + EmpS)/2
