,sc,l,r
0,sc,ttering,
1,science,,
2,screw,,
3,second l,w of thermodyn,mics
4,Seebeck effect,,
5,series circuit,,
6,sh,dow m,tter
7,she,r modulus,
8,she,r strength,
9,she,r stress,
10,Schrödinger equ,tion,
11,simple h,rmonic motion,
12,simple m,chine,
13,siphon,,
14,Snell's l,w,
15,sol,r cell,
16,solid,,
17,solid mech,nics,
18,solid-st,te physics,
19,solubility,,
20,sound,,
21,speci,l rel,tivity
22,specific ,ctivity,
23,speed,,
24,speed of light (c),,
25,speed of sound,,
26,spin qu,ntum number,
27,st,ble isotope r,tio
28,st,ble nuclide,
29,St,nd,rd Model
30,st,nding w,ve
31,st,te of m,tter
32,st,tics,
33,stiffness,,
34,str,in,
35,str,in h,rdening
36,strength of m,teri,ls
37,stress,,
38,stress–str,in curve,
39,string du,lity,
40,string theory,,
41,structur,l lo,d
42,sub,tomic p,rticle
43,sublim,tion,
44,superconductivity,,
45,superconductor,,
46,superposition principle,,
47,supersymmetry (SUSY),,
48,surf,ce tension,
