,TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
0,12:33 AM,48.2,46.4,93,30.01,2.0,North,3.5,-,0.09,Rain,Rain,10,2014-11-26 05:33:00
1,12:51 AM,48.9,46.0,90,29.98,2.0,North,5.8,-,0.13,Rain,Rain,10,2014-11-26 05:51:00
2,12:54 AM,48.2,46.4,93,29.98,1.5,North,4.6,-,0.0,Rain,Rain,10,2014-11-26 05:54:00
3,1:15 AM,48.2,46.4,93,29.98,1.0,North,4.6,-,0.04,Rain,Rain,10,2014-11-26 06:15:00
4,1:51 AM,48.9,46.0,90,29.97,1.0,North,5.8,-,0.19,Rain,Heavy Rain,10,2014-11-26 06:51:00
5,2:51 AM,50.0,46.9,89,29.93,1.0,North,6.9,-,0.19,Rain,Rain,10,2014-11-26 07:51:00
6,3:51 AM,50.0,46.9,89,29.91,1.0,NNE,9.2,-,0.16,Rain,Rain,30,2014-11-26 08:51:00
7,4:51 AM,48.9,46.0,90,29.9,1.0,NNE,10.4,19.6,0.16,Rain,Rain,20,2014-11-26 09:51:00
8,5:51 AM,48.0,45.0,89,29.91,1.0,NNE,10.4,-,0.3,Rain,Rain,20,2014-11-26 10:51:00
9,6:15 AM,46.4,44.6,93,29.9,2.0,NNE,11.5,20.7,0.11,Rain,Rain,20,2014-11-26 11:15:00
10,6:21 AM,46.4,44.6,93,29.91,2.0,NNE,10.4,17.3,0.13,Rain,Rain,30,2014-11-26 11:21:00
11,6:35 AM,46.4,44.6,93,29.91,2.0,North,8.1,17.3,0.17,Rain,Rain,10,2014-11-26 11:35:00
12,6:51 AM,46.9,44.1,90,29.9,2.0,NNE,11.5,19.6,0.22,Rain,Rain,30,2014-11-26 11:51:00
13,7:51 AM,46.0,42.1,86,29.9,2.0,NNE,16.1,29.9,0.18,Rain,Rain,30,2014-11-26 12:51:00
14,8:51 AM,45.0,42.1,90,29.97,2.0,Variable,5.8,19.6,0.08,Rain,Light Rain,0,2014-11-26 13:51:00
15,9:51 AM,45.0,41.0,86,29.94,2.0,NE,15.0,23.0,0.05,Rain,Light Rain,40,2014-11-26 14:51:00
16,10:19 AM,44.6,41.0,87,29.9,10.0,NE,17.3,28.8,0.0,Rain,Light Rain,50,2014-11-26 15:19:00
17,10:51 AM,46.0,41.0,83,29.89,10.0,NE,15.0,21.9,0.0,,Overcast,40,2014-11-26 15:51:00
18,11:51 AM,45.0,41.0,86,29.92,10.0,Variable,5.8,-,0.0,Rain,Light Rain,0,2014-11-26 16:51:00
19,12:51 PM,44.1,39.9,85,29.92,10.0,Variable,6.9,-,0.0,Rain,Light Rain,0,2014-11-26 17:51:00
20,1:07 PM,44.6,39.2,81,29.93,2.0,WNW,9.2,-,0.0,Rain,Light Rain,300,2014-11-26 18:07:00
21,1:51 PM,43.0,39.9,89,29.96,2.0,Variable,6.9,-,0.04,Rain,Light Rain,0,2014-11-26 18:51:00
22,2:08 PM,42.8,39.2,87,29.96,6.0,Variable,5.8,-,0.0,Rain,Light Rain,0,2014-11-26 19:08:00
23,2:51 PM,43.0,37.9,82,29.97,10.0,Variable,6.9,-,0.0,,Overcast,0,2014-11-26 19:51:00
24,3:51 PM,43.0,37.9,82,29.99,10.0,Variable,3.5,-,,,Overcast,0,2014-11-26 20:51:00
25,4:20 PM,42.8,39.2,87,29.99,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2014-11-26 21:20:00
26,4:51 PM,43.0,37.0,80,30.0,10.0,NW,4.6,-,0.0,Rain,Light Rain,320,2014-11-26 21:51:00
27,5:29 PM,42.8,37.4,81,30.02,10.0,Calm,Calm,-,0.0,,Mostly Cloudy,0,2014-11-26 22:29:00
28,5:51 PM,42.1,37.9,85,30.02,10.0,Calm,Calm,-,0.0,,Mostly Cloudy,0,2014-11-26 22:51:00
29,6:25 PM,42.8,37.4,81,30.03,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2014-11-26 23:25:00
30,6:51 PM,42.1,39.0,89,30.04,10.0,West,3.5,-,,,Mostly Cloudy,260,2014-11-26 23:51:00
31,7:51 PM,43.0,39.0,86,30.06,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2014-11-27 00:51:00
32,8:23 PM,42.8,37.4,81,30.06,10.0,Calm,Calm,-,,,Scattered Clouds,0,2014-11-27 01:23:00
33,8:51 PM,39.0,37.0,93,30.06,10.0,ESE,3.5,-,,,Scattered Clouds,110,2014-11-27 01:51:00
34,9:51 PM,35.1,34.0,96,30.05,10.0,ENE,3.5,-,,Fog,Patches of Fog,70,2014-11-27 02:51:00
35,10:29 PM,37.4,33.8,87,30.06,0.5,Calm,Calm,-,,Fog,Fog,0,2014-11-27 03:29:00
36,10:42 PM,37.4,35.6,93,30.06,10.0,Variable,3.5,-,,Fog,Patches of Fog,0,2014-11-27 03:42:00
37,10:51 PM,37.0,35.1,93,30.07,0.5,South,3.5,-,,Fog,Fog,170,2014-11-27 03:51:00
38,11:03 PM,37.4,35.6,93,30.07,7.0,Calm,Calm,-,,Fog,Patches of Fog,0,2014-11-27 04:03:00
39,11:51 PM,36.0,34.0,93,30.06,10.0,Calm,Calm,-,,,Mostly Cloudy,0,2014-11-27 04:51:00
