,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,2014-10-13 12:52 AM,61 F,52 F,72 %,SSE,5 mph,0 mph,30.26 in,0.0 in,Cloudy
1,2014-10-13 1:52 AM,62 F,52 F,70 %,CALM,0 mph,0 mph,30.26 in,0.0 in,Cloudy
2,2014-10-13 2:52 AM,62 F,52 F,70 %,SE,3 mph,0 mph,30.26 in,0.0 in,Cloudy
3,2014-10-13 3:52 AM,62 F,52 F,70 %,CALM,0 mph,0 mph,30.25 in,0.0 in,Cloudy
4,2014-10-13 4:13 AM,63 F,54 F,72 %,SE,3 mph,0 mph,30.25 in,0.0 in,Cloudy
5,2014-10-13 4:45 AM,63 F,54 F,72 %,CALM,0 mph,0 mph,30.24 in,0.0 in,Cloudy
6,2014-10-13 4:52 AM,62 F,53 F,72 %,CALM,0 mph,0 mph,30.24 in,0.0 in,Cloudy
7,2014-10-13 4:59 AM,63 F,54 F,72 %,CALM,0 mph,0 mph,30.24 in,0.0 in,Cloudy
8,2014-10-13 5:15 AM,63 F,54 F,72 %,CALM,0 mph,0 mph,30.24 in,0.0 in,Cloudy
9,2014-10-13 5:24 AM,63 F,54 F,72 %,SE,3 mph,0 mph,30.24 in,0.0 in,Cloudy
10,2014-10-13 5:52 AM,62 F,53 F,72 %,SSE,3 mph,0 mph,30.24 in,0.0 in,Cloudy
11,2014-10-13 6:52 AM,63 F,55 F,75 %,SSE,5 mph,0 mph,30.24 in,0.0 in,Cloudy
12,2014-10-13 7:52 AM,63 F,55 F,75 %,SSE,5 mph,0 mph,30.26 in,0.0 in,Cloudy
13,2014-10-13 8:52 AM,63 F,56 F,78 %,SSE,3 mph,0 mph,30.28 in,0.0 in,Light Rain
14,2014-10-13 9:26 AM,63 F,57 F,82 %,S,3 mph,0 mph,30.28 in,0.0 in,Light Rain
15,2014-10-13 9:52 AM,63 F,57 F,81 %,SE,3 mph,0 mph,30.28 in,0.0 in,Haze
16,2014-10-13 10:10 AM,63 F,57 F,82 %,CALM,0 mph,0 mph,30.28 in,0.0 in,Light Rain
17,2014-10-13 10:33 AM,63 F,57 F,82 %,CALM,0 mph,0 mph,30.28 in,0.0 in,Light Rain
18,2014-10-13 10:52 AM,64 F,58 F,80 %,CALM,0 mph,0 mph,30.28 in,0.0 in,Light Rain
19,2014-10-13 11:17 AM,64 F,57 F,77 %,CALM,0 mph,0 mph,30.27 in,0.0 in,Rain
20,2014-10-13 11:29 AM,64 F,59 F,83 %,SE,3 mph,0 mph,30.27 in,0.1 in,Rain
21,2014-10-13 11:52 AM,64 F,59 F,84 %,CALM,0 mph,0 mph,30.26 in,0.1 in,Cloudy
22,2014-10-13 12:42 PM,64 F,61 F,88 %,CALM,0 mph,0 mph,30.25 in,0.0 in,Cloudy
23,2014-10-13 12:52 PM,65 F,60 F,84 %,CALM,0 mph,0 mph,30.24 in,0.0 in,Light Rain
24,2014-10-13 1:52 PM,66 F,60 F,81 %,CALM,0 mph,0 mph,30.22 in,0.0 in,Cloudy
25,2014-10-13 2:52 PM,67 F,61 F,81 %,CALM,0 mph,0 mph,30.20 in,0.0 in,Cloudy
26,2014-10-13 3:52 PM,68 F,62 F,81 %,CALM,0 mph,0 mph,30.20 in,0.0 in,Light Drizzle
27,2014-10-13 4:52 PM,68 F,62 F,81 %,N,3 mph,0 mph,30.20 in,0.0 in,Cloudy
28,2014-10-13 5:52 PM,68 F,63 F,84 %,CALM,0 mph,0 mph,30.20 in,0.0 in,Haze
29,2014-10-13 6:01 PM,68 F,63 F,83 %,NNE,5 mph,0 mph,30.20 in,0.0 in,Cloudy
30,2014-10-13 6:52 PM,68 F,63 F,84 %,N,3 mph,0 mph,30.20 in,0.0 in,Haze
31,2014-10-13 7:17 PM,68 F,63 F,83 %,CALM,0 mph,0 mph,30.20 in,0.0 in,Haze
32,2014-10-13 7:52 PM,68 F,63 F,84 %,CALM,0 mph,0 mph,30.20 in,0.0 in,Haze
33,2014-10-13 8:52 PM,67 F,63 F,87 %,CALM,0 mph,0 mph,30.19 in,0.0 in,Cloudy
34,2014-10-13 9:03 PM,66 F,63 F,88 %,CALM,0 mph,0 mph,30.19 in,0.0 in,Cloudy
35,2014-10-13 9:22 PM,66 F,63 F,88 %,CALM,0 mph,0 mph,30.19 in,0.0 in,Cloudy
