,Word,num_occurrences
0,aa,391
1,ability,6418
2,abiotic,24
3,able,787
4,abnormal,1391
5,absence,402
6,absent,1731
7,absolute,12360
8,absorb,116
9,absorbed,134
10,absorbent,1065
11,absorbs,80
12,abundant,3715
13,accelerate,96
14,accelerated,66
15,accelerates,13
16,accelerating,42
17,acceleration,325
18,acceptable,2183
19,acceptance,478
20,accepted,198
21,access,16627
22,accident,1403
23,accidental,2951
24,accidents,36
25,according,196
26,accounts,246
27,accumulation,1253
28,accuracy,1109
29,accurate,16151
30,accurately,31
31,achieve,155
32,acid,12722
33,acidic,3139
34,acids,371
35,acorns,33
36,acquire,114
37,acquired,124
38,acres,277
39,across,6884
40,act,4808
41,acted,24
42,acting,806
43,action,26474
44,actionatadistance,0
45,actions,279
46,active,20588
47,actively,42
48,activities,626
49,activity,19625
50,acts,298
51,adapt,31
52,adaptation,1694
53,adaptations,8
54,adapted,100
55,adapting,8
56,adaptive,1740
57,adapts,5
58,add,476
59,added,444
60,adding,99
61,addition,4337
62,additional,7929
63,adds,87
64,adenine,113
65,adh,54
66,adjacent,2514
67,adjust,182
68,adjusted,118
69,adjusting,115
70,adjusts,3
71,ads,406
72,adult,20246
73,adults,452
74,advance,985
75,advanced,3713
76,advancement,136
77,advancements,0
78,advancing,41
79,advantage,845
80,adverse,1699
81,advertisements,26
82,advertising,3881
83,advise,29
84,aeration,207
85,aerobic,615
86,aerosol,886
87,affect,197
88,affected,2764
89,affecting,72
90,affects,197
91,africa,3171
92,afternoon,1005
93,afterwards,6
94,age,277264
95,ages,170
96,aggressive,6071
97,ago,262
98,agree,86
99,agricultural,3734
100,aid,2871
101,aids,322
102,air,32693
103,aircraft,5045
104,airplane,2075
105,airtight,146
106,al,797
107,alaska,1749
108,alcohol,4978
109,alert,1072
110,algae,581
111,algal,128
112,alicia,128
113,alike,1027
114,alive,1356
115,alkaline,676
116,allele,178
117,alleles,20
118,allen,329
119,allergic,822
120,allow,150
121,allowed,107
122,allowing,64
123,allows,224
124,almost,2048
125,alo,5
126,alone,5276
127,along,5418
128,alongside,21
129,alps,100
130,also,9277
131,alter,654
132,altered,59
133,altering,22
134,alternate,1484
135,alternating,271
136,alternative,5181
137,although,71
138,altitude,719
139,aluminum,6082
140,always,12442
141,america,7670
142,americas,102
143,amfm,0
144,amino,1961
145,ammonia,625
146,amoeba,43
147,amoebas,9
148,among,495
149,amount,2018
150,amounts,165
151,amplified,54
152,amplitude,304
153,amu,5
154,analogous,309
155,analysis,2825
156,analyze,19
157,analyzed,4
158,analyzing,29
159,anaphase,1
160,ancestor,1015
161,anchor,2460
162,ancient,4809
163,anderson,272
164,andy,111
165,anemia,219
166,anemometer,67
167,angle,5833
168,animal,19060
169,animals,1335
170,anna,157
171,anne,223
172,annual,19306
173,another,3316
174,answer,5326
175,answered,8
176,antibiotic,1898
177,antibioticresistant,0
178,antibiotics,45
179,antibodies,81
180,antidiuretic,32
181,antlers,40
182,antonia,3
183,apart,121
184,apartment,7148
185,apartments,217
186,aphid,3264
187,aphids,15
188,appalachians,13
189,apparatus,12713
190,apparent,2242
191,appear,1747
192,appearance,9327
193,appeared,506
194,appearing,99
195,appears,1085
196,apple,9356
197,apples,110
198,appliances,338
199,applied,227
200,applies,33
201,approach,11984
202,appropriate,41244
203,approximately,520
204,apron,772
205,aquarium,1515
206,aquatic,2283
207,aquifer,548
208,ar,188
209,archaea,4
210,arctic,2202
211,area,69618
212,areas,1047
213,argon,398
214,argument,1341
215,ariana,4
216,arid,305
217,arises,51
218,arizona,1045
219,arkansas,572
220,arms,2117
221,around,8362
222,arranged,153
223,arrangement,669
224,arrived,63
225,arsenic,613
226,article,11915
227,articles,673
228,artificial,4846
229,arturo,2
230,asexual,159
231,asexually,8
232,ash,3544
233,ask,118
234,asked,41
235,aspect,520
236,assemble,35
237,assembled,58
238,assembly,5933
239,associated,600
240,assortment,69
