,title, publication, authors, date, year, month, url, content
0,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,eavesmac,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
1,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,L Garou,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
2,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Bad Penny,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
3,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Lanman,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
4,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,tempus irrigandum arbor MAGA,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
5,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,eavesmac,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
6,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,gehs72,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
7,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Memri Dotorg,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
8,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Freddie Mercurys mustache,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
9,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,I got worked,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
10,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,LiddyLiberty,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
11,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,R A Reed,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
12,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Baseballfuries85,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
13,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Colorado Proud,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
14,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,DeeAitch,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
15,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,RBR!,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
16,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Colorado Proud,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
17,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,DeeAitch,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
18,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Ehdk,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
19,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Linda Scott,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
20,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Colorado Proud,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
21,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Jackalope,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
22,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Czechster,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
23,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Larry Blackman,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
24,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,anxaunt79,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
25,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,anxaunt79,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
26,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,wardaddy,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
27,Breitbart Texas Editor Brandon Darby Locked Out of Twitter over Border Murder Story | Breitbart,www.breitbart.com,Gary,04-06-2019,2019,4,https://www.breitbart.com/tech/2019/04/06/breitbart-texas-editor-brandon-darby-locked-out-of-twitter-over-border-murder-story/,
