,ngram,cleaned
0,food_and_agriculture_organization,food agriculture organization
1,international_atomic_energy_agency,international atomic energy agency
2,international_civil_aviation_organization,international civil aviation organization
3,international_civil_service_commission,international civil service commission
4,international_fund_for_agricultural_development,international fund agricultural development
5,international_labour_organization,international organization
6,international_maritime_organization,international maritime organization
7,international_telecommunication_union,international telecommunication union
8,international_trade_centre,international trade
9,joint_inspection_unit,joint inspection unit
10,joint_united_nations_programme_on_hiv/aids,joint united nation aid
11,office_of_the_united_nations_high_commissioner_for_human_rights,office united nation high commissioner human right
12,office_of_the_united_nations_high_commissioner_for_refugees,office united nation high commissioner refugee
13,organization_for_the_prohibition_of_chemical_weapons,organization prohibition chemical weapon
14,preparatory_commission_for_the_comprehensive_nuclear_test_ban_treaty_organization,preparatory commission comprehensive nuclear test ban treaty organization
15,united_nations_children_fund,united nation child fund
16,united_nations_conference_on_trade_and_development,united nation conference trade development
17,united_nations_development_programme,united nation development
18,united_nations_economic_and_social_commission_for_asia_and_the_pacific,united nation economic social commission pacific
19,united_nations_economic_and_social_commission_for_western_asia,united nation economic social commission western
20,united_nations_economic_commission_for_africa,united nation economic commission
21,united_nations_economic_commission_for_europe,united nation economic commission
22,united_nations_economic_commission_for_latin_america_and_the_caribbean,united nation economic commission
23,united_nations_educational_scientific_and_cultural_organization,united nation educational scientific cultural organization
24,united_nations_environment_programme,united nation environment
25,united_nations_framework_convention_on_climate_change,united nation framework convention climate change
26,united_nations_interregional_crime_and_justice_research_institute,united nation interregional crime justice research institute
27,international_monetary_fund,international monetary fund
28,gross_domestic_product,gross domestic product
29,long_term,long term
30,short_term,short term
31,medium_term,medium term
32,work_paper,work paper
33,balance_sheet,balance sheet
34,balance_payment,balance payment
35,executive_board,executive board
36,current_account,current account
37,foreign_currency,foreign currency
38,long_run,long run
39,direct_investment,direct investment
40,structural_reform,structural reform
41,economic_outlook,economic outlook
42,current_account_balance,current account balance
43,technical_assistance,technical assistance
44,consumer_price_index,consumer price index
45,value_add,value add
46,real_estate,real estate
47,social_security,social security
48,broad_money,broad money
49,standard_deviation,standard deviation
50,article_4_consultation,article consultation
51,consumer_price,consumer price
52,short_run,short run
53,cross_border,cross border
54,current_account_deficit,current account deficit
55,fiscal_consolidation,fiscal consolidation
56,commodity_price,commodity price
57,labor_force,labor force
58,time_series,time series
59,capital_inflow,capital inflow
60,action_plan,action plan
61,human_capital,human capital
62,federal_reserve,federal reserve
63,cash_flow,cash flow
64,liquid_asset,liquid asset
65,capital_adequacy,capital adequacy
66,civil_service,civil service
67,health_care,health care
68,capital_adequacy_ratio,capital adequacy ratio
69,debt_relief,debt relief
70,natural_resource,natural resource
71,united_nation,united nation
72,human_resource,human resource
73,capacity_building,capacity building
74,safety_net,safety net
75,social_protection,social protection
76,executive_director,executive director
77,fiscal_discipline,fiscal discipline
78,bond_yield,bond yield
79,net_worth,net worth
80,producer_price,producer price
81,disposable_income,disposable income
82,personal_income_tax,personal income tax
83,policy_maker,policy maker
84,dummy_variable,dummy variable
85,civil_servant,civil servant
86,job_creation,job creation
87,social_safety_net,social safety net
88,stress_testing,stress testing
89,non_resident,non resident
90,industrial_production,industrial production
91,readily_available,readily available
92,trade_liberalization,trade liberalization
93,decision_making,decision making
94,current_account_surplus,current account surplus
95,line_ministry,line ministry
96,insurance_scheme,insurance scheme
97,production_function,production function
98,free_trade,free trade
99,public_private_partnership,public private partnership
100,investment_climate,investment climate
101,moral_hazard,moral hazard
102,calendar_year,calendar year
103,corrective_action,corrective action
104,resident_representative,resident representative
105,yield_curve,yield curve
106,robustness_check,robustness check
107,excess_liquidity,excess liquidity
108,revenue_mobilization,revenue mobilization
109,natural_disaster,natural disaster
110,cross_section,cross section
111,institutional_capacity,institutional capacity
112,indicative_target,indicative target
113,labor_force_participation,labor force participation
114,civil_society,civil society
115,human_development,human development
116,business_climate,business climate
117,efficiency_gain,efficiency gain
118,trade_openness,trade openness
119,currency_circulation,currency circulation
120,custom_duty,custom duty
121,middle_east,middle east
122,macroeconomic_stabilization,macroeconomic stabilization
123,fiscal_stimulus,fiscal stimulus
124,early_warning,early warning
125,life_expectancy,life expectancy
126,millennium_development_goal,millennium development goal
127,risk_aversion,risk aversion
128,crude_oil,crude oil
129,natural_gas,natural gas
130,sovereign_bond,sovereign bond
131,social_welfare,social welfare
132,macro_prudential,macro prudential
133,bond_issuance,bond issuance
134,gross_capital_formation,gross capital formation
135,self_assessment,self assessment
136,living_standard,live standard
137,life_insurance,life insurance
138,task_force,task force
139,prime_minister,prime minister
140,absolute_value,absolute value
141,capital_injection,capital injection
142,small_medium_enterprise,small medium enterprise
143,regional_integration,regional integration
144,raw_material,raw material
145,confidence_interval,confidence interval
146,econometric_model,econometric model
147,inclusive_growth,inclusive growth
148,legal_entity,legal entity
149,contingency_plan,contingency plan
150,gross_fix_capital_formation,gross fix capital formation
151,money_laundering,money laundering
152,counter_cyclical,counter cyclical
153,international_accounting_standard,international accounting standard
154,time_frame,time frame
155,book_value,book value
156,cross_sectional,cross sectional
157,labor_intensive,labor intensive
158,middle_income_country,middle income country
159,tax_evasion,tax evasion
160,capital_formation,capital formation
161,working_paper,work paper
162,non_linear,non linear
163,pro_poor,pro poor
164,joint_venture,joint venture
165,anti_corruption,anti corruption
166,self_employ,self employ
167,purchase_power_parity,purchase power parity
168,credit_card,credit card
169,national_assembly,national assembly
170,infant_mortality,infant mortality
171,nominal_depreciation,nominal depreciation
172,null_hypothesis,null hypothesis
173,labor_force_survey,labor force survey
174,utility_function,utility function
175,middle_income,middle income
176,upward_revision,upward revision
177,account_payable,account payable
178,climate_change,climate change
179,working_group,work group
180,capital_mobility,capital mobility
181,law_enforcement,law enforcement
182,credit_crunch,credit crunch
183,debt_servicing,debt servicing
184,profit_margin,profit margin
185,fair_value,fair value
186,merger_acquisition,merger acquisition
187,dependency_ratio,dependency ratio
188,euro_zone,zone
189,final_consumption,final consumption
190,renewable_energy,renewable energy
191,contingency_planning,contingency planning
192,small_island,small island
193,sovereign_wealth_fund,sovereign wealth fund
194,residual_maturity,residual maturity
195,public_servant,public servant
196,supply_chain,supply chain
197,soviet_union,soviet union
198,risk_mitigation,risk mitigation
199,lump_sum,lump sum
200,feasibility_study,feasibility study
201,conceptual_framework,conceptual framework
202,non_stationary,non stationary
203,eligibility_criterion,eligibility criterion
204,oxford_university_press,oxford university press
205,auditor_general,auditor general
206,adult_literacy,adult literacy
207,primary_school,primary school
208,dutch_disease,dutch disease
209,preventive_measure,preventive measure
210,reverse_causality,reverse causality
211,steering_committee,steer committee
212,account_receivable,account receivable
213,political_interference,political interference
214,substitution_effect,substitution effect
215,robustness_test,robustness test
216,road_map,road map
217,excise_duty,excise duty
218,fiscal_multiplier,fiscal multiplier
219,ordinary_square,ordinary square
220,credit_rating_agency,credit rating agency
221,skilled_worker,skilled worker
222,liquidity_forecasting,liquidity forecasting
223,crisis_prevention,crisis prevention
224,recurrent_spending,recurrent spending
225,web_site,web site
226,currency_denomination,currency denomination
227,civil_war,civil war
228,extreme_poverty,extreme poverty
229,life_cycle,life cycle
230,capital_flight,capital flight
231,composite_index,composite index
232,household_indebtedness,household indebtedness
233,long_standing,long standing
234,exit_strategy,exit strategy
235,retained_earning,retain earning
236,supreme_court,supreme court
237,idiosyncratic_shock,idiosyncratic shock
238,information_asymmetry,information asymmetry
239,trade_facilitation,trade facilitation
240,decisive_action,decisive action
241,convertible_currency,convertible currency
242,tax_wedge,tax wedge
243,school_enrollment,school enrollment
244,record_keeping,record keeping
245,guarantee_scheme,guarantee scheme
246,industrialized_country,industrialize country
247,debt_forgiveness,debt forgiveness
248,burden_sharing,burden sharing
249,fiscal_prudence,fiscal prudence
250,concessional_borrowing,concessional borrowing
251,human_development_index,human development index
252,public_offering,public offering
253,agricultural_land,agricultural land
254,downward_adjustment,downward adjustment
255,extra_budgetary,extra budgetary
256,structural_impediment,structural impediment
257,treasury_auction,treasury auction
258,power_plant,power plant
259,master_plan,master plan
260,strategic_planning,strategic planning
261,sustainability_analysis,sustainability analysis
262,sensitivity_test,sensitivity test
263,liquidity_shortage,liquidity shortage
264,investor_sentiment,investor sentiment
265,value_chain,value chain
266,technical_advice,technical advice
267,post_conflict,post conflict
268,convergence_criterion,convergence criterion
269,closed_economy,close economy
270,self_employment,self employment
271,venture_capital,venture capital
272,voting_right,vote right
273,creditor_right,creditor right
274,highly_indebted,highly indebted
275,predictive_power,predictive power
276,old_age_pension,old age pension
277,employment_protection,employment protection
278,nominal_rigidity,nominal rigidity
279,credit_default_swap,credit default swap
280,severance_payment,severance payment
281,standard_living,standard living
282,liquidity_injection,liquidity injection
283,subordinated_debt,subordinated debt
284,purchasing_power_parity,purchase power parity
285,arm_length,arm length
286,trading_volume,trading volume
287,net_acquisition_asset,net acquisition asset
288,regulatory_arbitrage,regulatory arbitrage
289,sovereign_rating,sovereign rating
290,custom_tariff,custom tariff
291,wage_bargaining,wage bargaining
292,primary_health_care,primary health care
293,debt_relief_initiative,debt relief initiative
294,principal_component,principal component
295,statutory_body,statutory body
296,metric_ton,metric ton
297,advisory_committee,advisory committee
298,population_census,population census
299,comparative_analysis,comparative analysis
300,global_risk_aversion,global risk aversion
301,fast_track,fast track
302,risk_averse,risk averse
303,gender_equality,gender equality
304,turning_point,turn point
305,fiscal_dominance,fiscal dominance
306,focal_point,focal point
307,risk_weighting,risk weighting
308,preferential_treatment,preferential treatment
309,wage_earner,wage earner
310,cross_border_cooperation,cross border cooperation
311,quality_assurance,quality assurance
312,stylized_fact,stylize fact
313,job_opportunity,job opportunity
314,collective_bargaining,collective bargaining
315,natural_logarithm,natural logarithm
316,random_walk,random walk
317,absorption_capacity,absorption capacity
318,causality_test,causality test
319,resource_mobilization,resource mobilization
320,emergency_assistance,emergency assistance
321,long_lasting,long lasting
322,repayment_schedule,repayment schedule
323,stochastic_process,stochastic process
324,developing_country,develop country
325,live_birth,live birth
326,human_right,human right
327,executive_branch,executive branch
328,low_skilled,low skilled
329,postal_service,postal service
330,social_cohesion,social cohesion
331,auditing_standard,audit standard
332,mobile_phone,mobile phone
333,fragile_state,fragile state
334,soundness_indicator,soundness indicator
335,population_density,population density
336,linear_combination,linear combination
337,public_information_notice,public information notice
338,special_data_dissemination_standard,special data dissemination standard
339,emerging_economy,emerge economy
340,financial_accelerator,financial accelerator
341,technical_expertise,technical expertise
342,free_float,free float
343,child_care,child care
344,inter_agency,inter agency
345,mission_chief,mission chief
346,air_transport,air transport
