,love,17547,sex,27546,6.77
0,tiger,30075,cat,6678,7.35
1,tiger,30075,tiger,30075,10.0
2,book,3778,paper,16861908,7.46
3,computer,7878457,keyboard,18842281,7.62
4,computer,7878457,internet,14539,7.58
5,plane,46770,car,13673345,5.77
6,train,30598,car,13673345,6.31
7,telephone,30003,communication,5177,7.5
8,television,29831,radio,15368428,6.77
9,media,19641,radio,15368428,7.42
10,drug,9311172,abuse,424739,6.85
11,bread,36969,butter,46183,6.19
12,cucumber,164491,potato,23501,5.92
13,doctor,23315,nurse,55292,7.0
14,professor,20646803,doctor,8881,6.62
15,student,155526,professor,20646803,6.81
16,smart,-1,student,155526,4.62
17,smart,-1,stupid,19159221,5.81
18,company,4918223,stock,19372783,7.08
19,stock,19372783,market,3736784,8.08
20,stock,19372783,phone,30003,1.62
21,stock,19372783,CD,6429,1.31
22,stock,19372783,jaguar,147676,0.92
23,stock,657129,egg,19196010,1.81
24,fertility,257215,egg,484939,6.69
25,stock,19372783,live,-1,3.73
26,stock,19372783,life,-1,0.92
27,book,3778,library,17727,7.46
28,bank,19360669,money,8983183,8.12
29,wood,33550,forest,11090,7.73
30,money,8983183,cash,55336,9.15
31,professor,20646803,cucumber,164491,0.31
32,king,19012,cabbage,55115,0.23
33,king,19012,queen,887147,8.58
34,king,47485,rook,47615,5.92
35,bishop,4092,rabbi,51273,6.69
36,Jerusalem,16043,Israel,9282173,8.46
37,Jerusalem,16043,Palestinian,23267,7.65
38,holy,12178732,sex,26805,1.62
39,fuck,5575722,sex,26805,9.44
40,Maradona,8485,football,10568,8.62
41,football,10568,soccer,10568,9.03
42,football,10568,basketball,3921,6.81
43,football,10568,tennis,29773,6.63
44,tennis,29773,racket,52664,7.56
45,Arafat,34289,peace,24702,6.73
46,Arafat,34289,terror,30636,7.65
47,Arafat,34289,Jackson,-1,2.5
48,law,18949668,lawyer,17541,8.38
49,movie,21555729,star,5796,7.38
50,movie,21555729,popcorn,232176,6.19
51,movie,21555729,critic,161227,6.73
52,movie,21555729,theater,77819,7.92
53,physics,22939,proton,23317,8.12
54,physics,22939,chemistry,5180,7.35
55,space,27667,chemistry,5180,4.88
56,alcohol,1014,chemistry,5180,5.54
57,vodka,32787,gin,12988,8.46
58,vodka,32787,brandy,45189,8.13
59,drink,7984,car,13673345,3.04
60,drink,7984,ear,768413,1.31
61,drink,7984,mouth,9293603,5.96
62,drink,7984,eat,212818,6.87
63,baby,73165,mother,83430,7.85
64,drink,7984,mother,83430,2.65
65,car,13673345,automobile,13673345,8.94
66,gem,12806,jewel,12806,8.96
67,journey,163941,voyage,-1,9.29
68,boy,194253,lad,-1,8.83
69,coast,5236,shore,480527,9.1
70,asylum,38722,madhouse,38722,8.87
71,magician,7689495,wizard,7689495,9.02
72,midday,209005,noon,209005,9.29
73,furnace,238150,stove,556358,8.79
74,food,10646,fruit,10843,7.52
75,bird,3410,cock,26574,7.1
76,bird,3410,crane,198041,7.38
77,tool,30677,implement,30677,6.46
78,brother,419369,monk,419369,6.27
79,crane,318378,implement,30677,2.69
80,lad,-1,brother,352169,4.46
81,journey,163941,car,13673345,5.85
82,monk,419369,oracle,22589,5.0
83,cemetery,63752,woodland,66986,2.08
84,food,10646,rooster,26574,4.42
85,coast,5236,hill,1408983,4.38
86,forest,11090,graveyard,247010,1.85
87,shore,480527,woodland,66986,3.08
88,monk,419369,slave,27992,0.92
89,coast,5236,forest,11090,3.15
90,lad,-1,wizard,7689495,0.92
91,chord,297947,smile,187557,0.54
92,glass,12581,magician,25152964,2.08
93,noon,209005,string,1810027,0.54
94,rooster,26574,voyage,-1,0.62
95,money,8983183,dollar,8100,8.42
96,money,8983183,cash,55336,9.08
97,money,8983183,currency,5665,9.04
98,money,8983183,wealth,192617,8.27
99,money,8983183,property,23626,7.57
100,money,8983183,possession,24189,7.29
101,money,8983183,bank,19360669,8.5
102,money,8983183,deposit,30873450,7.73
103,money,8983183,withdrawal,-1,6.88
104,money,8983183,laundering,19390,5.65
105,money,8983183,operation,45599,3.31
106,tiger,30075,jaguar,16217,8.0
107,tiger,30075,feline,11302,8.0
108,tiger,30075,carnivore,6543,7.08
109,tiger,30075,mammal,18838,6.85
