,termA,idA,titleA,termB,idB,titleB,relatedness
0,love,17547.0,Love,sex,27546.0,Sexual intercourse,6.77
1,tiger,30075.0,Tiger,cat,6678.0,Cat,7.35
2,tiger,30075.0,Tiger,tiger,30075.0,Tiger,10.0
3,book,3778.0,Book,paper,16861908.0,Paper,7.46
4,computer,7878457.0,Computer,keyboard,5266.0,Keyboard (computing),7.62
5,computer,7878457.0,Computer,internet,14539.0,Internet,7.58
6,plane,46770.0,Fixed-wing aircraft,car,13673345.0,Automobile,5.77
7,train,30598.0,Train,car,13673345.0,Automobile,6.31
8,telephone,30003.0,Telephone,communication,30322.0,Telecommunication,7.5
9,television,29831.0,Television,radio,173088.0,Radio broadcasting,6.77
10,media,19641.0,Mass media,radio,173088.0,Radio broadcasting,7.42
11,drug,9311172.0,Drug,abuse,424739.0,Abuse,6.85
12,bread,36969.0,Bread,butter,46183.0,Butter,6.19
13,cucumber,164491.0,Cucumber,potato,23501.0,Potato,5.92
14,doctor,23315.0,Physician,nurse,55292.0,Nurse,7.0
15,professor,167800.0,Professor,doctor,188886.0,Doctorate,6.62
16,student,155526.0,Student,professor,167800.0,Professor,6.81
17,smart,519280.0,Intelligence,student,155526.0,Student,4.62
18,smart,519280.0,Intelligence,stupid,7597826.0,Stupidity,5.81
19,company,4918223.0,Company,stock,29249.0,Stock,7.08
20,stock,29249.0,Stock,market,3736784.0,Market,8.08
21,stock,29249.0,Stock,phone,30003.0,Telephone,1.62
22,stock,29249.0,Stock,CD,6429.0,Compact Disc,1.31
23,stock,29249.0,Stock,jaguar,147676.0,Jaguar Cars,0.92
24,stock,29249.0,Stock,egg,694135.0,Egg (food),1.81
25,fertility,257215.0,Fertility,egg,484939.0,Egg (biology),6.69
26,stock,29249.0,Stock,live,18393.0,Life,3.73
27,stock,29249.0,Stock,life,18393.0,Life,0.92
28,book,3778.0,Book,library,17727.0,Library,7.46
29,bank,3753.0,Bank,money,8983183.0,Money,8.12
30,wood,33550.0,Wood,forest,11090.0,Forest,7.73
31,money,8983183.0,Money,cash,55336.0,Cash,9.15
32,professor,167800.0,Professor,cucumber,164491.0,Cucumber,0.31
33,king,10934824.0,King,cabbage,55115.0,Cabbage,0.23
34,king,10934824.0,King,queen,887147.0,Queen regnant,8.58
35,king,47485.0,King (chess),rook,47615.0,Rook (chess),5.92
36,bishop,4092.0,Bishop,rabbi,51273.0,Rabbi,6.69
37,Jerusalem,16043.0,Jerusalem,Israel,9282173.0,Israel,8.46
38,Jerusalem,16043.0,Jerusalem,Palestinian,23267.0,Palestinian people,7.65
39,holy,12178732.0,Sacred,sex,27546.0,Sexual intercourse,1.62
40,fuck,5575722.0,Fuck,sex,27546.0,Sexual intercourse,9.44
41,Maradona,8485.0,Diego Maradona,football,10568.0,Association football,8.62
42,football,10568.0,Association football,soccer,10568.0,Association football,9.03
43,football,770.0,American football,basketball,3921.0,Basketball,6.81
44,football,10568.0,Association football,tennis,29773.0,Tennis,6.63
45,tennis,29773.0,Tennis,racket,52664.0,Racquet,7.56
46,Arafat,34289.0,Yasser Arafat,peace,24702.0,Peace,6.73
47,Arafat,34289.0,Yasser Arafat,terror,30636.0,Terrorism,7.65
48,Arafat,34289.0,Yasser Arafat,Jackson,1499535.0,Michael Jackson,2.5
49,law,17538.0,Law,lawyer,17541.0,Lawyer,8.38
50,movie,10571.0,Film,star,5796.0,Celebrity,7.38
51,movie,10571.0,Film,popcorn,232176.0,Popcorn,6.19
52,movie,10571.0,Film,critic,11065202.0,Film criticism,6.73
53,movie,10571.0,Film,theater,77819.0,Movie theater,7.92
54,physics,22939.0,Physics,proton,23317.0,Proton,8.12
55,physics,22939.0,Physics,chemistry,5180.0,Chemistry,7.35
56,space,27667.0,Space,chemistry,5180.0,Chemistry,4.88
57,alcohol,1014.0,Alcohol,chemistry,5180.0,Chemistry,5.54
58,vodka,32787.0,Vodka,gin,12988.0,Gin,8.46
59,vodka,32787.0,Vodka,brandy,45189.0,Brandy,8.13
60,drink,2978.0,Alcoholic beverage,car,13673345.0,Automobile,3.04
61,drink,7984.0,Drink,ear,768413.0,Ear,1.31
62,drink,7984.0,Drink,mouth,9293603.0,Mouth,5.96
63,drink,66254.0,Drinking,eat,212818.0,Eating,6.87
64,baby,73165.0,Infant,mother,83430.0,Mother,7.85
65,drink,7984.0,Drink,mother,83430.0,Mother,2.65
66,car,13673345.0,Automobile,automobile,13673345.0,Automobile,8.94
67,gem,12806.0,Gemstone,jewel,12806.0,Gemstone,8.96
68,journey,155747.0,Travel,voyage,2173925.0,Voyage,9.29
69,boy,194253.0,Boy,lad,,,8.83
70,coast,5236.0,Coast,shore,480527.0,Shore,9.1
71,asylum,38722.0,Psychiatric hospital,madhouse,,,8.87
72,magician,7689495.0,Magician (fantasy),wizard,7689495.0,Magician (fantasy),9.02
73,midday,209005.0,Noon,noon,209005.0,Noon,9.29
74,furnace,238150.0,Furnace,stove,556358.0,Stove,8.79
75,food,10646.0,Food,fruit,10843.0,Fruit,7.52
76,bird,3410.0,Bird,cock,26574.0,Rooster,7.1
77,bird,3410.0,Bird,crane,198041.0,Crane (bird),7.38
78,tool,30677.0,Tool,implement,30677.0,Tool,6.46
79,brother,419369.0,Monk,monk,419369.0,Monk,6.27
80,crane,318378.0,Crane (machine),implement,30677.0,Tool,2.69
81,lad,,,brother,352169.0,Sibling,4.46
82,journey,155747.0,Travel,car,13673345.0,Automobile,5.85
83,monk,419369.0,Monk,oracle,22589.0,Oracle,5.0
84,cemetery,63752.0,Cemetery,woodland,66986.0,Woodland,2.08
85,food,10646.0,Food,rooster,26574.0,Rooster,4.42
86,coast,5236.0,Coast,hill,1408983.0,Hill,4.38
87,forest,11090.0,Forest,graveyard,247010.0,Graveyard,1.85
88,shore,480527.0,Shore,woodland,66986.0,Woodland,3.08
89,monk,419369.0,Monk,slave,27992.0,Slavery,0.92
90,coast,5236.0,Coast,forest,11090.0,Forest,3.15
91,lad,,,wizard,7689495.0,Magician (fantasy),0.92
92,chord,297947.0,Chord (geometry),smile,187557.0,Smile,0.54
93,glass,12581.0,Glass,magician,53226.0,Magic (illusion),2.08
94,noon,209005.0,Noon,string,1810027.0,Twine,0.54
95,rooster,26574.0,Rooster,voyage,2173925.0,Voyage,0.62
96,money,8983183.0,Money,dollar,8100.0,Dollar,8.42
97,money,8983183.0,Money,cash,55336.0,Cash,9.08
98,money,8983183.0,Money,currency,5665.0,Currency,9.04
99,money,8983183.0,Money,wealth,9390638.0,Wealth (economics),8.27
100,money,8983183.0,Money,property,23626.0,Property,7.57
101,money,8983183.0,Money,possession,24189.0,Possession (law),7.29
102,money,8983183.0,Money,bank,3753.0,Bank,8.5
103,money,8983183.0,Money,deposit,4415862.0,Deposit account,7.73
104,money,8983183.0,Money,withdrawal,,,6.88
105,money,8983183.0,Money,laundering,19390.0,Money laundering,5.65
106,money,8983183.0,Money,operation,45599.0,Surgery,3.31
107,tiger,30075.0,Tiger,jaguar,16217.0,Jaguar,8.0
108,tiger,30075.0,Tiger,feline,11302.0,Felidae,8.0
109,tiger,30075.0,Tiger,carnivore,6543.0,Carnivore,7.08
110,tiger,30075.0,Tiger,mammal,18838.0,Mammal,6.85
111,tiger,30075.0,Tiger,animal,11039790.0,Animal,7.0
112,tiger,30075.0,Tiger,organism,22613.0,Organism,4.77
113,tiger,30075.0,Tiger,fauna,722672.0,Fauna,5.62
114,tiger,30075.0,Tiger,zoo,9096372.0,Zoo,5.87
115,psychology,22921.0,Psychology,psychiatry,23502.0,Psychiatry,8.08
116,psychology,22921.0,Psychology,anxiety,922.0,Anxiety,7.0
117,psychology,22921.0,Psychology,fear,10828.0,Fear,6.85
118,psychology,22921.0,Psychology,depression,8389.0,Major depressive disorder,7.42
119,psychology,22921.0,Psychology,clinic,832314.0,Clinic,6.58
120,psychology,22921.0,Psychology,doctor,23315.0,Physician,6.42
121,psychology,22921.0,Psychology,Freud,26743.0,Sigmund Freud,8.21
122,psychology,22921.0,Psychology,mind,19378.0,Mind,7.69
123,psychology,22921.0,Psychology,health,80381.0,Health,7.23
124,psychology,22921.0,Psychology,science,26700.0,Science,6.71
125,psychology,22921.0,Psychology,discipline,242710.0,List of academic disciplines,5.58
126,psychology,22921.0,Psychology,cognition,106238.0,Cognition,7.48
127,planet,22915.0,Planet,star,26808.0,Star,8.45
128,planet,22915.0,Planet,constellation,5267.0,Constellation,8.06
129,planet,22915.0,Planet,moon,53306.0,Natural satellite,8.08
130,planet,22915.0,Planet,sun,26751.0,Sun,8.02
131,planet,22915.0,Planet,galaxy,12558.0,Galaxy,8.11
