,segWords,Freq
0,coronavirus,7373
1,China,5075
2,outbreak,2784
3,Wuhan,2261
4,people,1036
5,Coronavirus,1014
6,spread,879
7,Chinese,874
8,virus,778
9,confirmed,729
10,pneumonia,699
11,death,645
12,news,641
13,city,591
14,health,535
15,toll,528
16,travel,502
17,deadly,499
18,US,483
19,-,428
20,amp,423
21,ndtv,421
22,amid,410
23,china,385
24,Health,351
25,emergency,342
26,infected,341
27,killed,338
28,hospital,331
29,live,327
30,spreading,322
31,global,311
32,reports,310
33,confirms,293
34,spreads,283
35,government,268
36,fears,262
37,cities,261
38,officials,261
39,updates,261
40,reported,259
41,lockdown,255
42,source,251
43,control,248
44,UK,247
45,SARS,245
46,New,241
47,wuhan,240
48,authorities,239
49,country,234
50,Here,233
51,rises,230
52,caused,229
53,Beijing,225
54,citizens,223
55,WHO,217
56,Hong,209
57,Kong,209
58,trib,209
59,More,205
60,cnn,202
61,deaths,202
62,CoronavirusOutbreak,201
63,patients,197
64,public,194
65,Hubei,191
66,countries,178
67,epicenter,178
68,What,171
69,symptoms,170
70,Twitter,169
71,official,168
72,Year,167
73,nCoV,166
74,medical,165
75,medium,162
76,Japan,161
77,Echobox,157
78,measures,156
79,mainland,154
80,markets,150
81,response,150
82,efforts,148
83,hit,147
84,CDC,145
85,Xi,144
86,disease,143
87,aje,142
88,io,142
89,patient,142
90,tested,142
91,fight,141
92,f,136
93,CMP,134
94,cnb,134
95,cx,134
96,jan,134
97,Lunar,134
98,theguardian,134
99,twt,134
100,illness,133
101,respiratory,133
102,rt,133
103,We,133
104,including,132
105,media,132
106,France,131
107,quarantine,131
108,airports,129
109,person,129
110,strain,128
111,abcn,127
112,central,127
113,World,127
114,died,125
115,evacuate,124
116,human,124
117,india,124
118,News,121
119,prevent,121
120,warns,120
121,build,119
122,hospitals,117
123,agency,116
124,treatment,116
125,epidemic,114
126,Thailand,114
127,Factbox,112
128,center,111
129,days,111
130,Asia,110
131,infection,110
132,passengers,110
133,stocks,110
134,Shanghai,107
135,Canada,106
136,holiday,106
137,curb,105
138,Follow,105
139,United,105
140,ChinaVirus,104
141,impact,102
142,market,102
143,rise,102
144,dead,100
145,In,100
146,sickened,100
147,science,99
148,State,99
149,treat,99
150,diagnosed,98
151,identified,96
152,Organization,95
153,week,95
154,province,94
155,Trump,94
156,President,92
157,restrictions,91
158,close,90
159,States,90
160,suspected,90
161,worried,90
162,infectious,88
163,Social,88
164,flights,87
165,This,87
166,Washington,87
167,don,86
168,masks,86
169,screening,86
170,staff,86
171,Jinping,85
172,uk,85
173,How,84
174,risen,84
175,traveled,84
176,Australia,83
177,Read,83
178,students,83
179,Britons,82
180,fast,82
181,gu,82
182,Sunday,82
183,warning,81
184,hundreds,80
185,concern,79
186,Monday,79
187,concerns,78
188,continues,78
189,economic,78
190,international,78
191,Korea,78
192,South,78
193,travelers,78
194,But,77
195,day,77
196,risk,77
197,announced,76
198,Department,76
199,India,76
200,situation,76
201,As,75
202,experts,75
203,set,75
204,effort,74
205,Singapore,74
206,term,74
207,transmission,74
208,transportation,74
209,bed,73
210,building,73
211,st,72
212,started,72
213,testing,72
214,top,72
215,CoronaVirus,71
216,NDTV,71
217,stock,71
218,climbs,70
219,Jan,70
220,National,70
221,total,70
222,x,70
223,British,69
224,discovered,69
225,humans,69
226,Latest,69
227,positive,69
228,AFP,68
229,Europe,68
230,evacuation,68
231,Autofeed,67
232,originated,67
233,Thursday,67
234,Chicago,66
235,closed,66
236,level,66
237,mysterious,66
238,scare,66
239,tests,66
240,Indian,65
241,Commission,64
242,Americans,63
243,California,63
244,residents,63
245,shut,63
246,teams,63
247,told,63
248,declare,62
249,I,62
250,Three,62
251,companies,61
252,contact,61
253,mystery,61
254,newly,61
255,production,61
256,warned,61
257,BREAKING,60
258,Foreign,60
259,report,60
260,story,60
261,battle,59
262,epicentre,59
263,special,59
264,transport,59
265,airport,58
266,crisis,58
267,leave,58
268,minister,58
269,Minister,58
270,Sars,58
271,urges,58
272,Control,57
273,essential,57
274,It,57
275,prevention,57
276,rose,57
277,time,57
278,Breaking,56
279,Province,56
280,video,56
281,All,55
282,dozens,55
283,Sky,55
284,Disease,54
285,doctor,54
286,flight,54
287,isolation,54
288,major,54
289,protect,54
290,returned,54
