,segWords,Freq
0,,93186
1,coronavirus,7373
2,China,5075
3,outbreak,2784
4,Wuhan,2261
5,people,1036
6,Coronavirus,1014
7,spread,879
8,Chinese,874
9,virus,778
10,confirmed,729
11,pneumonia,699
12,death,645
13,news,641
14,city,591
15,health,535
16,toll,528
17,travel,502
18,deadly,499
19,US,483
20,-,428
21,ndtv,421
22,amid,410
23,china,385
24,Health,351
25,emergency,342
26,infected,341
27,killed,338
28,hospital,331
29,live,327
30,spreading,322
31,global,311
32,reports,310
33,confirms,293
34,spreads,283
35,government,268
36,fears,262
37,cities,261
38,officials,261
39,updates,261
40,reported,259
41,lockdown,255
42,source,251
43,control,248
44,UK,247
45,SARS,245
46,New,241
47,wuhan,240
48,authorities,239
49,country,234
50,Here,233
51,rises,230
52,caused,229
53,Beijing,225
54,citizens,223
55,WHO,217
56,Hong,209
57,Kong,209
58,trib,209
59,More,205
60,cnn,202
61,deaths,202
62,CoronavirusOutbreak,201
63,patients,197
64,public,194
65,Hubei,191
66,countries,178
67,epicenter,178
68,symptoms,170
69,Twitter,169
70,official,168
71,Year,167
72,nCoV,166
73,medical,165
74,medium,162
75,Japan,161
76,Echobox,157
77,measures,156
78,mainland,154
79,markets,150
80,response,150
81,efforts,148
82,hit,147
83,CDC,145
84,Xi,144
85,disease,143
86,aje,142
87,io,142
88,patient,142
89,tested,142
90,fight,141
91,f,136
92,CMP,134
93,cnb,134
94,cx,134
95,jan,134
96,Lunar,134
97,theguardian,134
98,twt,134
99,illness,133
100,respiratory,133
101,rt,133
102,including,132
103,media,132
104,France,131
105,quarantine,131
106,airports,129
107,person,129
108,strain,128
109,abcn,127
110,central,127
111,World,127
112,died,125
113,evacuate,124
114,human,124
115,india,124
116,News,121
117,prevent,121
118,warns,120
119,build,119
120,hospitals,117
121,agency,116
122,treatment,116
123,epidemic,114
124,Thailand,114
125,Factbox,112
126,center,111
127,days,111
128,Asia,110
129,infection,110
130,passengers,110
131,stocks,110
132,Shanghai,107
133,Canada,106
134,holiday,106
135,curb,105
136,Follow,105
137,United,105
138,ChinaVirus,104
139,impact,102
140,market,102
141,rise,102
142,dead,100
143,In,100
144,sickened,100
145,science,99
146,State,99
147,treat,99
148,diagnosed,98
149,identified,96
150,Organization,95
151,week,95
152,province,94
153,Trump,94
154,President,92
155,restrictions,91
156,close,90
157,States,90
158,suspected,90
159,worried,90
160,infectious,88
161,Social,88
162,flights,87
163,Washington,87
164,don,86
165,masks,86
166,screening,86
167,staff,86
168,Jinping,85
169,uk,85
170,risen,84
171,traveled,84
172,Australia,83
173,Read,83
174,students,83
175,Britons,82
176,fast,82
177,gu,82
178,Sunday,82
179,warning,81
180,hundreds,80
181,concern,79
182,Monday,79
183,concerns,78
184,continues,78
185,economic,78
186,international,78
187,Korea,78
188,South,78
189,travelers,78
190,But,77
191,day,77
192,risk,77
193,announced,76
194,Department,76
195,India,76
196,situation,76
197,experts,75
198,set,75
199,effort,74
200,Singapore,74
201,term,74
202,transmission,74
203,transportation,74
204,bed,73
205,building,73
206,st,72
207,started,72
208,testing,72
209,top,72
210,CoronaVirus,71
211,NDTV,71
212,stock,71
213,climbs,70
214,Jan,70
215,National,70
216,total,70
217,x,70
218,British,69
219,discovered,69
220,humans,69
221,Latest,69
222,positive,69
223,AFP,68
224,Europe,68
225,evacuation,68
226,Autofeed,67
227,originated,67
228,Thursday,67
229,Chicago,66
230,closed,66
231,level,66
232,mysterious,66
233,scare,66
234,tests,66
235,Indian,65
236,Commission,64
237,Americans,63
238,California,63
239,residents,63
240,shut,63
241,teams,63
242,told,63
243,declare,62
244,Three,62
245,companies,61
246,contact,61
247,mystery,61
248,newly,61
249,production,61
250,warned,61
251,BREAKING,60
252,Foreign,60
253,report,60
254,story,60
255,battle,59
256,epicentre,59
257,special,59
258,transport,59
259,airport,58
260,crisis,58
261,leave,58
262,minister,58
263,Minister,58
264,Sars,58
265,urges,58
266,Control,57
267,essential,57
268,prevention,57
269,rose,57
270,time,57
271,Breaking,56
272,Province,56
273,video,56
274,dozens,55
275,Sky,55
276,Disease,54
277,doctor,54
278,flight,54
279,isolation,54
280,major,54
281,protect,54
282,returned,54
283,viral,54
284,ability,53
285,animal,53
286,ban,53
287,DailyChinaBriefing,53
288,trade,53
289,treated,53
290,Tuesday,53
291,wild,53
292,cancels,52
293,Death,52
294,gdnnews,52
295,pandemic,52
296,panic,52
297,stay,52
298,supplies,52
299,With,52
300,battles,51
301,declares,51
302,model,51
303,nationals,51
304,returning,51
305,Update,51
306,Wall,51
307,WSJWhatsNow,51
308,advises,50
309,dozen,50
310,expert,50
311,First,50
312,follow,50
313,Li,49
314,Global,48
315,issues,48
316,millions,48
317,severe,48
318,Snakes,48
319,woman,48
320,worldwide,48
321,Xinhua,48
322,believed,47
323,Centers,47
324,chief,47
325,confirm,47
326,IN,47
327,JUST,47
328,military,47
329,Office,47
330,Officials,47
331,Saturday,47
332,threat,47
333,transmitted,47
334,built,46
335,economy,46
336,krait,46
337,stronger,46
338,centre,45
339,PTI,45
340,Texas,45
341,traveling,45
342,workers,45
343,animals,44
344,Authorities,44
345,called,44
346,Dow,44
347,flu,44
348,html,44
349,independent,44
350,student,44
351,triggered,44
352,Wednesday,44
353,writes,44
354,Germany,43
355,linked,43
356,nurse,43
357,Public,43
358,resident,43
359,steps,43
360,stranded,43
361,airlines,42
362,alert,42
363,City,42
364,cobra,42
365,extends,42
366,history,42
367,mask,42
368,observation,42
369,original,42
370,provincial,42
371,Taiwan,42
372,There,42
373,winter,42
374,aid,41
375,arrived,41
376,Asian,41
377,expected,41
378,infections,41
379,medics,41
380,Ministry,41
381,MORE,41
382,Premier,41
383,screen,41
384,temporarily,41
385,avoid,40
386,bans,40
387,CNN,40
388,cut,40
389,Davos,40
390,deal,40
391,hold,40
392,left,40
393,Prevention,40
394,return,40
395,snakes,40
396,watch,40
397,Watch,40
398,advising,39
399,American,39
400,beds,39
401,employees,39
402,extended,39
403,Friday,39
404,Great,39
405,low,39
406,morning,39
407,a,38
408,accelerating,38
409,detected,38
410,diplomats,38
411,doctors,38
412,earlier,38
413,grow,38
414,growing,38
415,On,38
416,region,38
417,test,38
418,advisory,37
419,arrival,37
420,exposure,37
421,Facebook,37
422,fourth,37
423,investors,37
424,ms,37
425,nyti,37
426,procedures,37
427,reaches,37
428,surgical,37
429,travelling,37
430,committee,36
431,halt,36
432,jumps,36
433,Keqiang,36
434,rate,36
435,Stocks,36
436,urged,36
437,bats,35
438,biggest,35
439,combat,35
440,If,35
441,living,35
442,month,35
443,podcast,35
444,reconsider,35
445,risks,35
446,scientists,35
447,sky,35
448,travellers,35
449,trial,35
450,anger,34
451,bid,34
452,Disney,34
453,Disneyland,34
454,facing,34
455,From,34
456,HIV,34
457,identifies,34
458,Listen,34
459,meet,34
460,meeting,34
461,negative,34
462,screenings,34
463,sell,34
464,stepped,34
465,stopped,34
466,stories,34
467,trains,34
468,Britain,33
469,demand,33
470,drug,33
471,expanded,33
472,hard,33
473,Hospital,33
474,mayor,33
475,plans,33
476,potential,33
477,ready,33
478,rein,33
479,Saudi,33
480,suspends,33
481,ve,33
482,affect,32
483,cbc,32
484,December,32
485,game,32
486,grave,32
487,industry,32
488,infects,32
489,investigation,32
490,outbreaks,32
491,preparedness,32
492,threatens,32
493,weekend,32
494,appears,31
495,cough,31
496,declaring,31
497,family,31
498,personnel,31
499,schools,31
500,Scientists,31
501,start,31
502,trapped,31
503,universities,31
504,Amid,30
505,Apple,30
506,arriving,30
507,Central,30
508,Check,30
509,conference,30
510,fell,30
511,globally,30
512,increasing,30
513,president,30
514,prices,30
515,questions,30
516,studies,30
517,team,30
518,Tell,30
519,trading,30
520,wearing,30
521,advice,29
522,Australian,29
523,calls,29
524,chinese,29
525,closing,29
526,contracted,29
527,dedicated,29
528,hits,29
529,makeshift,29
530,months,29
531,Our,29
532,People,29
533,planning,29
534,Should,29
535,shuts,29
536,worst,29
537,AbbVie,28
538,app,28
539,cope,28
540,cover,28
541,dangerous,28
542,explains,28
543,Feb,28
544,fly,28
545,food,28
546,foreign,28
547,half,28
548,hands,28
549,isolate,28
550,Japanese,28
551,monitoring,28
552,NDTVNewsBeeps,28
553,offers,28
554,office,28
555,oil,28
556,prepared,28
557,rapidly,28
558,robot,28
559,role,28
560,screened,28
561,shutting,28
562,social,28
563,stands,28
564,Starbucks,28
565,stores,28
566,system,28
567,victims,28
568,wsj,28
569,border,27
570,children,27
571,die,27
572,ground,27
573,He,27
574,life,27
575,locks,27
576,reviews,27
577,Scotland,27
578,statement,27
579,streets,27
580,To,27
581,UN,27
582,consulate,26
583,contagion,26
