,Words,Frequency
0,coronaviruses,31
1,group,3
2,related,7
3,viruses,10
4,cause,11
5,diseases,5
6,mammals,3
7,birds,5
8,humans,4
9,respiratory,13
10,tract,7
11,infections,6
12,range,4
13,mild,6
14,lethal,3
15,illnesses,1
16,include,2
17,cases,8
18,common,9
19,cold,4
20,possible,2
21,causes,7
22,predominantly,1
23,rhinoviruses,2
24,varieties,1
25,sars,8
26,mers,1
27,covid-19,1
28,symptoms,6
29,species,9
30,vary,2
31,chickens,3
32,upper,3
33,disease,5
34,cows,1
35,pigs,2
36,diarrhea,4
37,yet,1
38,vaccines,1
39,antiviral,1
40,drugs,1
41,prevent,1
42,treat,2
43,human,25
44,coronavirus,57
45,constitute,1
46,subfamily,1
47,orthocoronavirinae,2
48,family,3
49,coronaviridae,2
50,order,2
51,nidovirales,2
52,realm,2
53,riboviria,2
54,5,5
55,6,2
56,enveloped,1
57,positive-sense,8
58,single-stranded,3
59,rna,20
60,genome,16
61,nucleocapsid,6
62,helical,1
63,symmetry,1
64,size,3
65,ranges,2
66,approximately,3
67,26,2
68,32,1
69,kilobases,2
70,one,7
71,largest,3
72,among,3
73,7,2
74,characteristic,2
75,club-shaped,1
76,spikes,2
77,project,1
78,surface,5
79,electron,4
80,micrographs,2
81,create,1
82,image,2
83,reminiscent,2
84,solar,2
85,corona,3
86,name,8
87,derives,1
88,8,2
89,first,5
90,discovered,3
91,1930s,2
92,acute,5
93,infection,3
94,domesticated,2
95,shown,1
96,caused,4
97,infectious,5
98,bronchitis,6
99,virus,29
100,ibv,2
101,1940s,1
102,two,6
103,animal,2
104,mouse,4
105,hepatitis,3
106,mhv,4
107,transmissible,2
108,gastroenteritis,2
109,tgev,1
110,isolated,1
111,9,2
112,1960s,1
113,10,1
114,earliest,1
115,ones,1
116,studied,1
117,patients,1
118,later,4
119,named,3
120,229e,3
121,oc43,5
122,11,1
123,imaged,1
124,scottish,1
125,virologist,1
126,june,1
127,almeida,1
128,st.,1
129,thomas,1
130,hospital,1
131,london,1
132,12,2
133,since,2
134,identified,4
135,including,1
136,sars-cov,7
137,2003,3
138,hcov,1
139,nl63,2
140,2004,1
141,hku1,2
142,2005,1
143,mers-cov,9
144,2012,4
145,sars-cov-2,2
146,2019.,1
147,involved,3
148,serious,2
149,13,1
150,14,1
151,``,4
152,'',4
153,derived,1
154,latin,1
155,meaning,1
156,crown,2
157,wreath,2
158,borrowing,1
159,greek,1
160,korn,1
161,garland,1
162,15,2
163,16,1
164,used,2
165,1968,1
166,informal,1
167,virologists,2
168,journal,1
169,nature,1
170,designate,1
171,new,4
172,refers,1
173,appearance,1
174,virions,1
175,infective,1
176,form,3
177,microscopy,1
178,fringe,1
179,large,3
180,bulbous,2
181,projections,2
182,creating,1
183,morphology,1
184,created,1
185,viral,11
186,spike,6
187,peplomers,1
188,proteins,14
189,17,2
190,pleomorphic,1
191,spherical,1
192,particles,2
193,18,1
194,average,1
195,diameter,2
196,around,1
197,120nm,1
198,.12,1
199,envelope,7
200,~80,1
201,nm,2
202,.08,1
203,~20,1
204,.02,1
205,long,4
206,appears,3
207,distinct,1
208,pair,1
209,dense,1
210,shells,1
211,19,1
212,20,12
213,consists,1
214,lipid,2
215,bilayer,2
216,membrane,4
217,e,3
218,structural,4
219,anchored,1
220,21,1
221,subset,1
222,specifically,1
223,members,1
224,betacoronavirus,5
225,subgroup,1
226,also,5
227,shorter,1
228,spike-like,1
229,protein,6
230,called,3
231,hemagglutinin,1
232,esterase,1
233,inside,2
234,formed,1
235,multiple,3
236,copies,1
237,n,2
238,bound,1
239,continuous,1
240,beads-on-a-string,1
241,type,2
242,conformation,1
243,22,1
244,protect,1
245,outside,2
246,host,14
247,cell,10
248,23,1
249,contain,1
250,26.4,1
251,31.7,1
252,methylated,2
253,cap,2
254,3,3
255,polyadenylated,2
256,tail,3
257,organization,4
258,5-leader-utr-replicase/transcriptase-spike,1
259,-envelope,1
260,-membrane,1
261,-nucleocapsid,1
262,-3utr-poly,1
263,open,2
264,reading,6
265,frames,4
266,1a,1
267,1b,1
268,occupy,1
269,two-thirds,1
270,encode,2
271,replicase/transcriptase,2
272,polyprotein,5
273,self,1
274,cleaves,2
275,nonstructural,5
276,four,5
277,major,3
278,24,1
279,interspersed,1
280,accessory,3
281,number,5
282,function,3
283,unique,2
284,depending,2
285,specific,1
286,begins,1
287,glycoprotein,1
288,attaches,1
289,complementary,1
290,receptor,3
291,attachment,1
292,protease,2
293,activates,1
294,receptor-attached,1
295,available,1
296,cleavage,1
297,activation,1
298,allows,2
299,enter,1
300,endocytosis,1
301,direct,5
302,fusion,1
303,envelop,1
304,25,1
305,entry,1
306,particle,1
307,uncoated,1
308,enters,1
309,cytoplasm,1
310,attach,1
311,'s,3
312,ribosome,2
313,translation,2
314,translates,1
315,initial,2
316,overlapping,2
317,frame,2
318,forms,2
319,proteases,1
320,cleave,1
321,coalesce,1
322,multi-protein,1
323,replicase-transcriptase,2
324,complex,4
325,rtc,1
326,main,2
327,rna-dependent,2
328,polymerase,2
329,rdrp,3
330,directly,3
331,replication,4
332,transcription,3
333,strand,1
334,assist,1
335,process,1
336,exoribonuclease,1
337,instance,1
338,provides,1
339,extra,1
340,fidelity,1
341,providing,1
342,proofreading,1
343,lacks,1
344,functions,1
345,replicate,1
346,mediates,2
347,synthesis,2
348,negative-sense,4
349,genomic,6
350,followed,2
351,important,1
352,transcribe,1
353,subgenomic,2
354,molecules,2
355,corresponding,1
356,mrnas,3
357,replicated,1
358,becomes,1
359,progeny,2
360,gene,2
361,transcripts,1
362,last,1
363,third,1
364,translated,1
365,ribosomes,1
366,occurs,1
367,endoplasmic,1
368,reticulum,1
369,move,1
370,along,1
371,secretory,2
372,pathway,1
373,golgi,1
374,intermediate,2
375,compartment,1
376,protein-protein,1
377,interactions,1
378,required,1
379,assembly,1
380,following,2
381,binding,1
382,27,2
383,released,1
384,exocytosis,1
385,vesicles,1
386,interaction,1
387,complement,1
388,central,2
389,determining,1
390,tissue,1
391,tropism,2
392,infectivity,1
393,28,2
394,29,1
395,example,1
396,infects,2
397,cells,1
398,attaching,1
399,angiotensin-converting,1
400,enzyme,1
401,2,2
402,ace2,1
403,30,4
404,scientific,1
405,coronavirinae,1
406,4,1
407,belong,1
408,divided,1
409,alphacoronaviruses,1
410,betacoronaviruses,2
411,infect,4
412,gammacoronaviruses,1
413,deltacoronaviruses,1
414,primarily,2
415,31,2
416,recent,2
417,ancestor,5
418,mrca,1
419,estimated,1
420,existed,1
421,recently,2
422,8000,1
423,bce,5
424,although,2
425,models,1
426,place,1
427,far,1
428,back,1
429,55,2
430,million,1
431,years,1
432,implying,1
433,term,1
434,coevolution,1
435,bat,9
436,avian,3
437,33,1
438,alphacoronavirus,2
439,line,4
440,placed,1
441,2400,1
442,3300,1
443,gammacoronavirus,2
444,2800,1
445,deltacoronavirus,2
446,3000,1
447,bats,9
448,warm-blooded,1
449,flying,1
450,vertebrates,1
451,ideal,1
452,natural,1
453,reservoir,3
454,pool,1
455,global,2
456,enabled,1
457,extensive,1
458,evolution,2
459,dissemination,1
460,34,1
461,many,1
462,origin,1
463,35,3
464,shared,2
465,arcov.2,1
466,11901449,1
467,ce,2
468,36,1
469,ghanagrp1,1
470,bt,1
471,cov,1
472,16861800,1
473,37,1
474,alpaca,1
475,diverged,5
476,sometime,1
477,1960,1
478,38,1
479,emerged,1
480,camels,1
481,39,1
482,several,3
483,centuries,1
484,ago,1
485,40,1
486,closely,1
487,1986,1
488,41,1
489,path,1
490,keen,1
491,suggests,1
492,coevolved,1
493,time,1
494,ancestors,1
495,infected,4
496,leaf-nose,1
497,genus,1
498,hipposideridae,1
499,subsequently,1
500,spread,2
501,horseshoe,1
502,rhinolophidae,1
503,civets,1
504,finally,1
505,42,1
506,43,1
507,unlike,1
508,bovine,5
509,1,1
510,subgenus,1
511,embecovirus,1
512,thought,1
513,originated,1
514,rodents,2
515,44,1
516,1790s,1
517,equine,1
518,cross-species,2
519,jump,1
520,45,2
521,1890s,1
522,another,1
523,spillover,2
524,event,2
525,46,1
526,speculated,1
527,flu,1
528,pandemic,4
529,1890,1
530,may,5
531,influenza,1
532,timing,1
533,neurological,2
534,unknown,1
535,causative,2
536,agent,2
537,47,1
538,besides,1
539,causing,2
540,suspected,2
541,playing,1
542,role,1
543,48,1
544,1950s,1
545,began,1
546,diverge,1
547,present,1
548,genotypes,1
549,49,1
550,phylogentically,1
551,murine,3
552,liver,1
553,nervous,1
554,system,1
555,50,1
556,like,2
557,aforementioned,1
558,origins,1
559,significantly,1
560,risk,1
561,factor,1
562,kill,1
563,relatively,1
564,harmless,1
565,colds,3
566,fever,1
567,sore,1
568,throat,1
569,swollen,1
570,adenoids,1
571,51,1
572,pneumonia,5
573,either,2
574,secondary,3
575,bacterial,2
576,52,3
577,severe,3
578,syndrome,6
579,pathogenesis,2
580,lower,1
581,six,1
582,known,3
583,subdivided,1
584,different,2
585,strains,3
586,making,1
587,seven,1
588,altogether,1
589,continually,1
590,circulate,1
591,population,1
592,produce,3
593,generally,2
594,adults,1
595,children,1
596,worldwide,1
