,word,count
0,study,38
1,two,23
2,using,21
3,results,20
4,three,20
5,analysis,20
6,compared,17
7,used,16
8,higher,16
9,may,16
10,non,15
11,based,15
12,significantly,14
13,also,14
14,however,14
15,present,13
16,methods,13
17,rate,13
18,well,13
19,respectively,12
20,associated,12
21,model,12
22,new,11
23,time,11
24,gene,11
25,suggest,11
26,background,11
27,high,11
28,important,10
29,one,10
30,data,10
31,found,10
32,showed,10
33,process,10
34,potential,10
35,biodegradation,10
36,performance,10
37,development,10
38,activity,10
39,degradation,10
40,enhanced,9
41,could,9
42,aim,9
43,lower,9
44,genes,9
45,presence,9
46,different,9
47,species,9
48,bioremediation,9
49,major,9
50,days,9
51,available,8
52,use,8
53,devices,8
54,revealed,8
55,determine,8
56,environmental,8
57,studies,8
58,type,8
59,increased,8
60,engineering,8
61,method,8
62,growth,8
63,including,8
64,level,8
65,significant,8
66,demonstrated,8
67,specific,8
68,observed,8
69,due,7
70,objective,7
71,biological,7
72,within,7
73,following,7
74,increase,7
75,whether,7
76,patient,7
77,provide,7
78,genetically,7
79,cell,7
80,protein,7
81,medical,7
82,research,7
83,identified,7
84,device,7
85,patients,7
86,health,7
87,current,7
88,applications,7
89,public,7
90,tissue,7
91,transgenic,7
92,evidence,7
93,possible,7
94,materials,7
95,findings,7
96,ability,6
97,molecular,6
98,improve,6
99,long,6
100,conducted,6
101,small,6
102,efficient,6
103,identify,6
104,large,6
105,rates,6
106,engineered,6
107,quality,6
108,clinical,6
109,design,6
110,information,6
111,concentrations,6
112,controls,6
113,reduce,6
114,selected,6
115,number,6
116,methodology,6
117,impact,6
118,developed,6
119,work,6
120,among,6
121,derived,6
122,control,6
123,common,6
124,affect,6
125,demonstrate,6
126,years,6
127,novel,6
128,application,6
129,soil,6
130,assessed,6
131,expression,6
132,strain,6
133,role,6
134,order,6
135,analyses,5
136,natural,5
137,term,5
138,treated,5
139,environment,5
140,designed,5
141,techniques,5
142,microbial,5
143,biomass,5
144,soils,5
145,period,5
146,resistance,5
147,selection,5
148,outcomes,5
149,first,5
150,inoculated,5
151,candidates,5
152,trials,5
153,field,5
154,carbon,5
155,waste,5
156,surface,5
157,wild,5
158,make,5
159,ph,5
160,reduced,5
161,cellular,5
162,measured,5
163,incidence,5
164,included,5
165,follow,5
166,performed,5
167,synthetic,5
168,system,5
169,addition,5
170,six,5
171,characteristics,5
172,needed,5
173,animal,5
174,essential,5
175,optimal,5
176,independent,5
177,treatment,5
178,generation,5
179,primary,5
180,concentration,5
181,thus,5
182,factors,5
183,involved,5
184,particularly,5
185,products,5
186,technologies,5
187,commercial,5
188,relative,5
189,changes,5
190,greater,5
191,function,5
192,evaluate,5
193,cells,5
194,systems,5
195,furthermore,5
196,relevant,5
197,uptake,5
198,better,5
199,excellent,5
200,remain,5
201,towards,5
202,known,5
203,culture,5
204,effective,5
205,introduce,5
206,support,5
207,many,5
208,contaminated,5
209,proteins,5
210,ci,5
211,exposure,4
212,point,4
213,genetic,4
214,article,4
215,vs,4
216,strains,4
217,life,4
218,influence,4
219,recent,4
220,response,4
221,implant,4
222,conditions,4
223,models,4
224,multi,4
225,according,4
226,adhesion,4
227,pcr,4
228,often,4
229,plants,4
230,failure,4
231,appropriate,4
232,samples,4
233,strategies,4
234,approach,4
235,without,4
236,regulation,4
237,improvement,4
238,would,4
239,help,4
240,dna,4
241,initial,4
242,processes,4
243,reduction,4
244,production,4
245,bacteria,4
246,effects,4
247,morphology,4
248,network,4
249,correlation,4
250,show,4
251,surgery,4
252,behavior,4
253,highly,4
254,moreover,4
255,sources,4
256,tested,4
257,effect,4
258,least,4
259,alternative,4
260,mainly,4
261,prosthetic,4
262,interactions,4
263,per,4
264,body,4
265,central,4
266,randomized,4
267,criteria,4
268,native,4
269,report,4
270,biomaterial,4
271,nature,4
272,bacterial,4
273,describe,4
274,general,4
275,frequency,4
276,determined,4
277,risks,4
278,factor,4
279,shown,4
280,enzyme,4
281,therefore,4
282,functional,4
283,established,4
284,regulatory,4
285,sp,4
286,lines,4
287,allow,4
288,approximately,4
289,little,4
290,mechanisms,4
291,modified,4
292,provided,4
293,obtained,4
294,lead,4
295,outcome,4
296,animals,4
297,understanding,4
298,biology,4
299,water,4
300,electron,4
301,future,4
302,evaluating,4
303,persistent,4
304,values,4
305,half,4
306,desired,4
307,critical,4
308,material,4
309,environments,4
310,introduction,4
311,degrade,4
312,accumulation,4
313,transformation,4
314,low,4
315,contamination,3
316,day,3
317,invasive,3
318,address,3
319,useful,3
320,example,3
321,region,3
322,co,3
323,benefit,3
324,still,3
325,genome,3
326,networks,3
327,platform,3
328,larger,3
329,wt,3
330,requires,3
331,test,3
332,technical,3
333,regeneration,3
334,isolate,3
335,minimal,3
336,result,3
337,indicated,3
338,metals,3
339,measurement,3
340,heart,3
341,making,3
342,case,3
343,scanning,3
344,countries,3
345,respect,3
346,reference,3
347,pollutant,3
348,toxic,3
349,achieved,3
