,226.,2016-01-10 16:09:11,141.61,98%,If I'm curt with you it's because time is a factor. I think ...,Win (1 of 2)
0,225.0,2016-01-10 16:06:54,133.7,96%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 3)
1,224.0,2015-12-21 21:19:53,128.63,96%,What you gonna do with your man there? You're always gonna h...,Win (1 of 2)
2,223.0,2015-11-14 23:52:59,136.0,97%,"Never give up, no matter how far behind you are, no matter h...",Win (1 of 2)
3,222.0,2015-11-06 00:15:30,136.08,99%,In the beginning there was only a small amount of injustice ...,Win (1 of 3)
4,221.0,2015-11-06 00:12:04,138.73,97%,The alternative to binge travel - the mini retirement - enta...,No win (2 of 4)
5,220.0,2015-11-06 00:09:14,166.29,100%,Remember that humor is written backwards. That means you fir...,Win (1 of 3)
6,219.0,2015-11-06 00:04:05,130.43,97%,"All life's battles teach us something, even those we lose. W...",Win (1 of 2)
7,218.0,2015-11-06 00:03:24,146.58,99%,If you're working out in front of a mirror and watching your...,Win (1 of 2)
8,217.0,2015-10-20 22:54:24,140.34,99%,"When I was your age, television was called books. And this i...",Win (1 of 3)
9,216.0,2015-10-20 22:49:18,152.95,99%,"Because some men aren't looking for anything logical, like m...",Win (1 of 3)
10,215.0,2015-10-20 22:47:22,174.3,100%,I hope it is true that a man can die and yet not only live i...,Win (1 of 3)
11,214.0,2015-10-20 22:46:21,147.6,98%,I said that I would see you because I had heard that you wer...,Win (1 of 2)
12,213.0,2015-10-20 22:44:18,143.36,96%,"On a manual typewriter, strike the key with a nice sharp str...",Win (1 of 2)
13,212.0,2015-10-20 22:41:37,140.28,98%,"If you want to drive a race car well, whether to win an Indy...",Win (1 of 3)
14,211.0,2015-09-16 23:53:51,138.42,97%,"After others have talked about themselves, a point will be r...",Win (1 of 4)
15,210.0,2015-09-16 23:51:50,135.96,97%,Music finds a comfortable parallel with that of human langua...,Win (1 of 3)
16,209.0,2015-09-06 01:10:28,138.59,98%,"When I really worry about something, I don't just fool aroun...",Win (1 of 2)
17,208.0,2015-09-06 01:06:54,139.44,97%,I've been thinking lots about my life and how quick I'd wash...,Win (1 of 4)
18,207.0,2015-09-06 01:06:06,141.3,98%,"No man is an island, entire of itself; every man is a piece ...",Win (1 of 2)
19,206.0,2015-09-06 01:01:05,143.12,98%,All that year the animals worked like slaves. But they were ...,Win (1 of 3)
20,205.0,2015-09-06 01:00:23,165.52,100%,"Take my love, take my land, take me where I cannot stand. I ...",Win (1 of 3)
21,204.0,2015-09-06 00:56:51,156.47,100%,"I never wanted to become someone like him. So secure, conten...",Win (1 of 2)
22,203.0,2015-09-06 00:56:15,139.15,96%,Writing is hard work. A clear sentence is no accident. Very ...,Win (1 of 3)
23,202.0,2015-08-25 22:54:36,131.97,96%,We have a criminal jury system which is superior to any in t...,Win (1 of 3)
24,201.0,2015-08-24 01:10:21,150.14,99%,The place to improve the world is first in one's own heart a...,Win (1 of 3)
25,200.0,2015-08-24 01:07:15,139.38,97%,One essential rule: make sure the joke is the last possible ...,Win (1 of 2)
26,199.0,2015-08-24 01:03:05,144.35,97%,Remembering you running soft through the night. You were big...,Win (1 of 4)
27,198.0,2015-08-24 01:00:31,143.69,98%,We live in an age when people do more writing than they have...,Win (1 of 3)
28,197.0,2015-08-16 20:57:40,144.34,98%,"And, anyway, it's not about making money, it's about taking ...",Win (1 of 4)
29,196.0,2015-08-16 20:56:32,139.24,96%,All time is all time. It does not change. It does not lend i...,Win (1 of 4)
30,195.0,2015-08-04 18:25:54,147.25,98%,"The terminator wouldn't stop, it would never leave him. It w...",Win (1 of 5)
31,194.0,2015-07-29 03:04:44,161.47,100%,"You know, sweetheart, if there's one thing I've learned, it'...",Win (1 of 2)
