ID,replacement rate,Null befor,Null after,Null difference
1,0.47,211,210,1
2,0.34,295,294,1
3,0.46,217,216,1
4,2.46,122,119,3
5,1.06,94,93,1
6,2.24,223,218,5
7,0.0,52,52,0
8,0.0,372,372,0
9,0.0,184,184,0
10,1.2,332,328,4
11,0.0,69,69,0
12,1.12,178,176,2
13,42.68,239,137,102
14,0.97,310,307,3
15,0.0,59,59,0
16,0.0,215,215,0
17,0.45,222,221,1
18,0.93,108,107,1
19,2.53,198,193,5
20,0.0,183,183,0
21,0.42,238,237,1
22,0.44,227,226,1
23,0.0,68,68,0
24,5.88,85,80,5
25,0.0,119,119,0
26,0.0,189,189,0
27,0.86,232,230,2
28,0.8,251,249,2
29,0.48,209,208,1
30,0.41,245,244,1
31,0.72,139,138,1
32,2.05,390,382,8
33,0.6,333,331,2
34,95.38,65,3,62
35,1.37,146,144,2
36,3.3,212,205,7
37,91.43,140,12,128
38,2.56,117,114,3
39,0.57,176,175,1
40,1.92,208,204,4
41,0.82,122,121,1
42,1.24,242,239,3
43,0.0,342,342,0
44,1.15,347,343,4
45,7.35,245,227,18
46,0.0,197,197,0
47,0.0,228,228,0
48,0.47,213,212,1
49,0.82,364,361,3
50,0.6,333,331,2
51,0.0,153,153,0
52,1.32,151,149,2
53,0.0,230,230,0
54,0.81,247,245,2
55,0.0,288,288,0
56,35.0,40,26,14
57,0.72,139,138,1
58,0.62,160,159,1
59,0.65,308,306,2
60,1.75,285,280,5
61,2.81,285,277,8
62,1.56,257,253,4
63,0.3,331,330,1
64,0.0,26,26,0
65,0.69,289,287,2
66,0.73,275,273,2
67,0.0,153,153,0
68,0.0,135,135,0
69,1.71,175,172,3
70,0.95,210,208,2
71,0.45,222,221,1
72,1.03,291,288,3
73,0.0,299,299,0
74,0.0,159,159,0
75,0.53,187,186,1
76,1.03,195,193,2
77,1.09,183,181,2
78,0.66,152,151,1
79,0.98,205,203,2
80,1.09,183,181,2
81,0.98,204,202,2
83,0.0,23,23,0
84,0.0,23,23,0
85,4.44,45,43,2
86,5.19,77,73,4
87,0.0,45,45,0
88,91.89,37,3,34
89,0.0,68,68,0
